"playerId","fg0019","fg2029","fg3039","fg4049","fg50","fgMiss0019","fgMiss2029","fgMiss3039","fgMiss4049","fgMiss50","xp","xpMiss","player","fg","analystId","fg0039","fgAtt","fgMiss"
4381,NA,NA,NA,6,1,NA,NA,NA,NA,NA,45,NA,"Garrett Hartley",22,"wafo",15,NA,0
4381,0,0,0,0,0,0,0,0,0,0,0,0,"Garrett Hartley",0,"yasp",NA,NA,0
71309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,NA,"Graham Gano",0,"cbav",NA,32.5,0
71309,NA,NA,NA,8,2,NA,NA,NA,NA,NA,38,NA,"Graham Gano",26,"wafo",16,NA,0
71309,1,10,4,13,2,0,0,1,3,2,56,3,"Graham Gano",30,"yasp",NA,NA,6
89802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,NA,"Ryan Succop",0,"cbav",NA,24.7,0
89802,NA,NA,NA,6,2,NA,NA,NA,NA,NA,32,NA,"Ryan Succop",22,"wafo",14,NA,0
89802,0,3,3,7,1,0,0,0,0,2,29,2,"Ryan Succop",14,"yasp",NA,NA,2
2495150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,"Kai Forbath",0,"cbav",NA,22.6,0
2495150,NA,NA,NA,7,1,NA,NA,NA,NA,NA,35,NA,"Kai Forbath",23,"wafo",15,NA,0
2495150,0,2,3,3,2,0,1,1,2,1,34,1,"Kai Forbath",10,"yasp",NA,NA,5
2495259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8,NA,"Dan Bailey",0,"cbav",NA,31.1,0
2495259,NA,NA,NA,9,5,NA,NA,NA,NA,NA,48,NA,"Dan Bailey",27,"wafo",13,NA,0
2495259,0,9,10,6,5,0,0,0,1,1,25,0,"Dan Bailey",30,"yasp",NA,NA,2
2500351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,NA,"Phil Dawson",0,"cbav",NA,31.1,0
2500351,NA,NA,NA,5,4,NA,NA,NA,NA,NA,32,NA,"Phil Dawson",23,"wafo",14,NA,0
2500351,0,9,6,6,3,0,1,0,2,0,20,1,"Phil Dawson",24,"yasp",NA,NA,3
2503471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,NA,"Adam Vinatieri",0,"cbav",NA,33.1,0
2503471,NA,NA,NA,8,4,NA,NA,NA,NA,NA,50,NA,"Adam Vinatieri",26,"wafo",14,NA,0
2503471,0,7,6,8,4,0,1,0,0,1,32,3,"Adam Vinatieri",25,"yasp",NA,NA,2
2504162,NA,NA,NA,5,1,NA,NA,NA,NA,NA,45,NA,"Shayne Graham",22,"wafo",16,NA,0
2504162,0,2,4,2,3,0,0,0,2,0,8,0,"Shayne Graham",11,"yasp",NA,NA,2
2504257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,NA,"Sebastian Janikowski",0,"cbav",NA,28.4,0
2504257,NA,NA,NA,8,4,NA,NA,NA,NA,NA,25,NA,"Sebastian Janikowski",24,"wafo",12,NA,0
2504257,0,7,5,5,4,0,0,1,3,1,38,1,"Sebastian Janikowski",21,"yasp",NA,NA,5
2504343,0,0,0,0,0,0,0,0,0,0,0,0,"Jay Feely",0,"yasp",NA,NA,0
2504797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,NA,"Matt Bryant",0,"cbav",NA,31.2,0
2504797,NA,NA,NA,8,4,NA,NA,NA,NA,NA,44,NA,"Matt Bryant",28,"wafo",16,NA,0
2504797,1,4,3,6,0,0,0,1,3,0,26,0,"Matt Bryant",14,"yasp",NA,NA,4
2504941,NA,NA,NA,7,1,NA,NA,NA,NA,NA,26,NA,"Billy Cundiff",21,"wafo",13,NA,0
2504941,0,0,0,0,0,0,0,0,0,0,0,0,"Billy Cundiff",0,"yasp",NA,NA,0
2505459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,NA,"Josh Brown",0,"cbav",NA,28.3,0
2505459,NA,NA,NA,6,2,NA,NA,NA,NA,NA,46,NA,"Josh Brown",23,"wafo",15,NA,0
2505459,1,6,12,8,3,0,0,0,2,0,44,1,"Josh Brown",30,"yasp",NA,NA,2
2506063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,NA,"Josh Scobee",0,"cbav",NA,35.8,0
2506063,NA,NA,NA,8,4,NA,NA,NA,NA,NA,34,NA,"Josh Scobee",25,"wafo",13,NA,0
2506063,0,2,1,3,0,0,0,0,4,0,6,1,"Josh Scobee",6,"yasp",NA,NA,4
2506149,0,0,0,0,0,0,0,0,0,0,0,0,"Shaun Suisham",0,"yasp",NA,NA,0
2506194,NA,NA,NA,6,3,NA,NA,NA,NA,NA,43,NA,"Nick Novak",26,"wafo",17,NA,0
2506194,0,6,6,4,2,0,0,0,0,3,29,2,"Nick Novak",18,"yasp",NA,NA,3
2506264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,NA,"Robbie Gould",0,"cbav",NA,22.4,0
2506264,NA,NA,NA,7,3,NA,NA,NA,NA,NA,46,NA,"Robbie Gould",26,"wafo",16,NA,0
2506264,1,8,10,7,7,0,0,2,2,2,28,1,"Robbie Gould",33,"yasp",NA,NA,6
2506386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,NA,"Mike Nugent",0,"cbav",NA,31,0
2506386,NA,NA,NA,7,1,NA,NA,NA,NA,NA,42,NA,"Mike Nugent",23,"wafo",15,NA,0
2506386,0,6,5,10,2,0,0,1,3,1,48,1,"Mike Nugent",23,"yasp",NA,NA,5
2506677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"Matt Prater",0,"cbav",NA,29.4,0
2506677,NA,NA,NA,7,3,NA,NA,NA,NA,NA,33,NA,"Matt Prater",23,"wafo",13,NA,0
2506677,0,3,8,6,5,0,0,1,0,1,36,3,"Matt Prater",22,"yasp",NA,NA,2
2506922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9,NA,"Stephen Gostkowski",0,"cbav",NA,35.1,0
2506922,NA,NA,NA,10,3,NA,NA,NA,NA,NA,50,NA,"Stephen Gostkowski",35,"wafo",22,NA,0
2506922,0,6,11,12,4,0,0,0,2,1,52,0,"Stephen Gostkowski",33,"yasp",NA,NA,3
2507225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,"Nick Folk",0,"cbav",NA,33,0
2507225,NA,NA,NA,8,3,NA,NA,NA,NA,NA,25,NA,"Nick Folk",28,"wafo",17,NA,0
2507225,0,2,6,3,2,0,0,0,3,0,19,0,"Nick Folk",13,"yasp",NA,NA,3
2507232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,NA,"Mason Crosby",0,"cbav",NA,36,0
2507232,NA,NA,NA,6,4,NA,NA,NA,NA,NA,54,NA,"Mason Crosby",28,"wafo",18,NA,0
2507232,1,7,4,8,4,0,0,0,3,1,36,0,"Mason Crosby",24,"yasp",NA,NA,4
2507374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,NA,"Steven Hauschka",0,"cbav",NA,34.1,0
2507374,NA,NA,NA,9,3,NA,NA,NA,NA,NA,43,NA,"Steven Hauschka",29,"wafo",17,NA,0
2507374,0,9,7,7,6,0,0,0,2,0,40,4,"Steven Hauschka",29,"yasp",NA,NA,2
2507401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,NA,"Dan Carpenter",0,"cbav",NA,37.6,0
2507401,NA,NA,NA,8,5,NA,NA,NA,NA,NA,31,NA,"Dan Carpenter",31,"wafo",18,NA,0
2507401,0,5,8,7,3,0,0,1,1,2,34,6,"Dan Carpenter",23,"yasp",NA,NA,4
2507463,NA,NA,NA,7,2,NA,NA,NA,NA,NA,49,NA,"Connor Barth",26,"wafo",17,NA,0
2507463,0,9,8,3,3,0,0,0,3,2,25,1,"Connor Barth",23,"yasp",NA,NA,5
2532968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,NA,"Blair Walsh",0,"cbav",NA,36.3,0
2532968,NA,NA,NA,7,5,NA,NA,NA,NA,NA,36,NA,"Blair Walsh",27,"wafo",15,NA,0
2532968,0,9,13,6,6,0,0,2,1,2,33,4,"Blair Walsh",34,"yasp",NA,NA,5
2533444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,"Randy Bullock",0,"cbav",NA,30.3,0
2533444,NA,NA,NA,8,3,NA,NA,NA,NA,NA,42,NA,"Randy Bullock",29,"wafo",18,NA,0
2533444,1,4,6,8,0,0,0,0,3,1,22,3,"Randy Bullock",19,"yasp",NA,NA,4
2534797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,NA,"Greg Zuerlein",0,"cbav",NA,32.2,0
2534797,NA,NA,NA,6,4,NA,NA,NA,NA,NA,37,NA,"Greg Zuerlein",23,"wafo",13,NA,0
2534797,1,2,9,5,3,0,0,1,3,6,26,2,"Greg Zuerlein",20,"yasp",NA,NA,10
2536340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,NA,"Justin Tucker",0,"cbav",NA,36.2,0
2536340,NA,NA,NA,9,5,NA,NA,NA,NA,NA,43,NA,"Justin Tucker",33,"wafo",19,NA,0
2536340,0,10,9,10,4,0,0,0,1,6,29,0,"Justin Tucker",33,"yasp",NA,NA,7
2539227,0,7,9,7,2,0,0,0,1,2,39,1,"Dustin Hopkins",25,"yasp",NA,NA,3
2539637,NA,NA,NA,7,3,NA,NA,NA,NA,NA,42,NA,"Caleb Sturgis",26,"wafo",16,NA,0
2539637,0,4,8,4,2,0,0,2,0,2,35,2,"Caleb Sturgis",18,"yasp",NA,NA,4
2541104,0,0,0,0,0,0,0,0,0,0,0,0,"Brandon Bogotay",0,"yasp",NA,NA,0
2541556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,NA,"Brandon McManus",0,"cbav",NA,39.7,0
2541556,0,12,8,5,5,0,0,0,3,2,35,1,"Brandon McManus",30,"yasp",NA,NA,5
2542060,0,0,0,0,0,0,0,0,0,0,0,0,"Jordan Gay",0,"yasp",NA,NA,0
2543533,NA,NA,NA,7,4,NA,NA,NA,NA,NA,35,NA,"Patrick Murray",22,"wafo",11,NA,0
2543533,0,0,0,0,0,0,0,0,0,0,0,0,"Patrick Murray",0,"yasp",NA,NA,0
2543781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,NA,"Zach Hocker",0,"cbav",NA,27.3,0
2543781,0,3,5,1,1,0,0,1,2,1,12,1,"Zach Hocker",10,"yasp",NA,NA,4
2550310,0,0,0,0,0,0,0,0,0,0,0,0,"Carey Spear",0,"yasp",NA,NA,0
2550325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,NA,"Chandler Catanzaro",0,"cbav",NA,38.6,0
2550325,NA,NA,NA,10,2,NA,NA,NA,NA,NA,39,NA,"Chandler Catanzaro",26,"wafo",14,NA,0
2550325,1,12,9,6,0,0,0,0,1,2,53,5,"Chandler Catanzaro",28,"yasp",NA,NA,3
2550380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,"Cody Parkey",0,"cbav",NA,33,0
2550380,NA,NA,NA,6,4,NA,NA,NA,NA,NA,52,NA,"Cody Parkey",31,"wafo",21,NA,0
2550380,0,1,1,1,0,0,0,0,1,0,7,0,"Cody Parkey",3,"yasp",NA,NA,1
2550545,1,9,8,9,2,0,0,0,3,0,26,1,"Chris Boswell",29,"yasp",NA,NA,3
2550551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,"Travis Coons",0,"cbav",NA,28.7,0
2550551,0,11,10,7,0,0,0,0,2,2,22,2,"Travis Coons",28,"yasp",NA,NA,4
2550636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,NA,"Cairo Santos",0,"cbav",NA,28.2,0
2550636,NA,NA,NA,7,2,NA,NA,NA,NA,NA,38,NA,"Cairo Santos",26,"wafo",17,NA,0
2550636,0,7,10,9,4,0,1,0,2,4,39,2,"Cairo Santos",30,"yasp",NA,NA,7
2553112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,NA,"Jason Myers",0,"cbav",NA,25.9,0
2553112,0,9,8,6,3,0,1,0,2,1,32,7,"Jason Myers",26,"yasp",NA,NA,4
2553497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,"Kyle Brindza",0,"cbav",NA,22.3,0
2553497,0,1,2,1,2,0,1,1,2,2,6,2,"Kyle Brindza",6,"yasp",NA,NA,6
2553576,0,0,0,0,0,0,0,0,0,0,0,0,"Tom Obarski",0,"yasp",NA,NA,0
2553648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,NA,"Andrew Franks",0,"cbav",NA,32.8,0
2553648,1,3,4,4,1,0,0,0,2,1,33,3,"Andrew Franks",13,"yasp",NA,NA,3
2553833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,NA,"Josh Lambo",0,"cbav",NA,29.3,0
2553833,0,4,7,11,4,0,0,0,5,1,28,4,"Josh Lambo",26,"yasp",NA,NA,6
